feature,importance
pledged_per_backer,1260
duration,670
title_words,408
goal,405
usd_goal_real,341
title_length,331
currency_USD,259
main_category_Film & Video,129
deadline_quarter_2,118
launch_quarter_2,112
main_category_Music,102
category_Tabletop Games,99
deadline_quarter_4,97
main_category_Comics,92
launch_quarter_3,91
deadline_quarter_3,88
launch_quarter_1,87
currency_GBP,86
category_Video Games,86
title_symbols,85
main_category_Games,85
country_US,82
launch_quarter_4,81
main_category_Food,78
main_category_Technology,75
category_Music,70
main_category_Fashion,65
main_category_Design,64
deadline_quarter_1,63
category_Product Design,60
launch_hour_17,58
currency_EUR,57
main_category_Theater,49
launch_hour_15,49
main_category_Crafts,45
launch_hour_23,44
category_Apps,42
main_category_Publishing,41
category_Documentary,41
category_Film & Video,39
main_category_Art,37
launch_hour_16,37
currency_CAD,37
category_Shorts,37
launch_hour_21,36
launch_hour_18,36
currency_AUD,36
main_category_Dance,35
launch_hour_22,35
category_Fiction,35
launch_hour_0,34
main_category_Photography,33
launch_hour_14,33
launch_hour_20,31
launch_hour_19,31
category_Anthologies,31
launch_hour_4,30
launch_hour_1,30
launch_hour_5,29
category_Web,29
category_Indie Rock,29
main_category_Journalism,28
launch_hour_2,28
category_Playing Cards,28
category_Painting,28
launch_hour_3,27
category_Hip-Hop,27
currency_MXN,26
launch_hour_13,25
launch_hour_10,25
category_Software,25
launch_hour_9,24
launch_hour_6,24
category_Public Art,24
category_Webcomics,23
category_Mobile Games,23
category_Gadgets,23
category_Comic Books,23
category_Art Books,23
category_Apparel,23
country_FR,22
category_Webseries,22
category_Technology,22
category_Nonfiction,22
category_Hardware,22
category_Narrative Film,21
category_Electronic Music,21
category_Country & Folk,21
category_Classical Music,20
launch_hour_12,19
category_Rock,19
category_Radio & Podcasts,19
category_Periodicals,19
category_Illustration,19
category_Food Trucks,19
category_Comedy,19
category_Accessories,19
currency_SEK,18
category_Jazz,18
category_Art,18
launch_hour_7,16
category_Wearables,16
category_Photobooks,16
category_Mixed Media,16
category_Live Games,16
category_Digital Art,16
country_IT,15
category_Vegan,15
category_Theater,15
category_Publishing,15
category_Action,15
category_Zines,14
category_Sculpture,14
category_Games,14
category_Food,14
category_Faith,14
category_Events,14
category_DIY Electronics,14
country_DE,13
category_Television,13
category_Letterpress,13
category_Animation,13
launch_hour_11,12
category_Young Adult,12
category_Space Exploration,12
category_Nature,12
category_Literary Journals,12
category_Graphic Design,12
category_Children's Books,12
launch_hour_8,11
country_GB,11
country_AT,11
category_Textiles,11
category_Places,11
category_Knitting,11
category_Flight,11
category_Farmer's Markets,11
category_Comics,11
category_Candles,11
category_Video,10
category_Restaurants,10
category_Ready-to-wear,10
category_Pottery,10
category_Horror,10
category_Fashion,10
category_Drinks,10
category_Chiptune,10
category_Camera Equipment,10
category_Workshops,9
category_Typography,9
category_Thrillers,9
category_Stationery,9
category_R&B,9
category_Poetry,9
category_Metal,9
category_Jewelry,9
category_Interactive Design,9
category_Experimental,9
category_Crochet,9
category_Academic,9
category_Spaces,8
category_Sound,8
category_Footwear,8
category_DIY,8
category_Conceptual Art,8
category_Blues,8
currency_CHF,7
category_Plays,7
category_Installations,7
category_Family,7
category_Design,7
category_Cookbooks,7
country_MX,6
country_CA,6
category_World Music,6
category_Performance Art,6
category_Latin,6
category_Graphic Novels,6
category_Farms,6
category_Crafts,6
category_Ceramics,6
category_Calendars,6
category_Audio,6
category_Animals,6
currency_NZD,5
currency_NOK,5
currency_DKK,5
country_IE,5
country_AU,5
category_Science Fiction,5
category_Musical,5
category_Dance,5
currency_SGD,4
category_Woodworking,4
category_Punk,4
category_Photography,4
category_Photo,4
category_Performances,4
category_People,4
category_Embroidery,4
category_Childrenswear,4
category_Small Batch,3
category_Movie Theaters,3
category_Drama,3
category_Architecture,3
category_3D Printing,3
currency_HKD,2
country_SE,2
country_ES,2
country_BE,2
category_Pop,2
category_Immersive,2
country_NO,1
country_NL,1
country_CH,1
category_Residencies,1
category_Puzzles,1
category_Printing,1
category_Print,1
category_Gaming Hardware,1
category_Fine Art,1
category_Fantasy,1
category_Community Gardens,1
currency_JPY,0
country_SG,0
country_NZ,0
country_LU,0
country_JP,0
country_HK,0
country_DK,0
category_Weaving,0
category_Video Art,0
category_Translations,0
category_Taxidermy,0
category_Romance,0
category_Robots,0
category_Quilts,0
category_Pet Fashion,0
category_Music Videos,0
category_Makerspaces,0
category_Literary Spaces,0
category_Kids,0
category_Journalism,0
category_Glass,0
category_Festivals,0
category_Fabrication Tools,0
category_Couture,0
category_Civic Design,0
category_Bacon,0
