,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,duration,launch_month,launch_quarter,deadline_month,deadline_quarter,launch_hour,title_length,title_words,title_symbols,backers_exist,pledged_per_backer,good_country,exchange_rate,usd_pledged_new
1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,GBP,2015-10-09,1000.0,2015-08-11 12:12:28,0.0,0,0,GB,0.0,0.0,1533.95,58,8,3,10,4,12,31,6,0,False,0.0,GB,1.26,0.0
1000003930,Greeting From Earth: ZGAC Arts Capsule For ET,Narrative Film,Film & Video,USD,2017-11-01,30000.0,2017-09-02 04:43:57,2421.0,0,15,US,100.0,2421.0,30000.0,59,9,3,11,4,4,45,8,0,True,161.4,US,1.0,2421.0
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,2012-04-16,5000.0,2012-03-17 03:24:11,1.0,0,1,US,1.0,1.0,5000.0,29,3,1,4,2,3,49,7,0,True,1.0,US,1.0,1.0
1000014025,Monarch Espresso Bar,Restaurants,Food,USD,2016-04-01,50000.0,2016-02-26 13:38:27,52375.0,1,224,US,52375.0,52375.0,50000.0,34,2,1,4,2,13,20,3,0,True,233.81696428571428,US,1.0,52375.0
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,2014-12-21,1000.0,2014-12-01 18:30:44,1205.0,1,16,US,1205.0,1205.0,1000.0,19,12,4,12,4,18,60,9,1,True,75.3125,US,1.0,1205.0
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,2016-03-17,25000.0,2016-02-01 20:05:12,453.0,0,40,US,453.0,453.0,25000.0,44,2,1,3,1,20,49,8,1,True,11.325,US,1.0,453.0
100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,2013-10-09,2500.0,2013-09-09 18:19:37,0.0,0,0,CA,0.0,0.0,2406.39,29,9,3,10,4,18,19,4,0,False,0.0,CA,0.75,0.0
100005484,Lisa Lim New CD!,Indie Rock,Music,USD,2013-04-08,12500.0,2013-03-09 06:42:58,12700.0,1,100,US,12700.0,12700.0,12500.0,29,3,1,4,2,6,16,4,1,True,127.0,US,1.0,12700.0
1000055792,The Cottage Market,Crafts,Crafts,USD,2014-10-02,5000.0,2014-09-02 17:11:50,0.0,0,0,US,0.0,0.0,5000.0,29,9,3,10,4,17,18,3,0,False,0.0,US,1.0,0.0
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,2016-03-25,200000.0,2016-02-09 23:01:12,0.0,0,0,US,0.0,0.0,200000.0,44,2,1,3,1,23,59,11,1,False,0.0,US,1.0,0.0
1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,2017-05-03,5000.0,2017-04-05 19:44:18,94175.0,1,761,GB,57763.78,121857.33,6469.73,27,4,2,5,2,19,57,9,0,True,123.75164257555848,GB,1.26,118660.5
1000064368,Survival Rings,Design,Design,USD,2015-02-28,2500.0,2015-01-29 02:10:53,664.0,0,11,US,664.0,664.0,2500.0,29,1,1,2,1,2,14,2,0,True,60.36363636363637,US,1.0,664.0
1000064918,The Beard,Comic Books,Comics,USD,2014-11-08,1500.0,2014-10-09 22:27:52,395.0,0,16,US,395.0,395.0,1500.0,29,10,4,11,4,22,9,2,0,True,24.6875,US,1.0,395.0
1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,2015-05-10,3000.0,2015-04-10 21:20:54,789.0,0,20,US,789.0,789.0,3000.0,29,4,2,5,2,21,32,6,0,True,39.45,US,1.0,789.0
