feature,importance
pledged_per_backer,1250
duration,649
goal,445
title_words,412
usd_goal_real,337
title_length,329
currency_USD,275
deadline_quarter_2,137
main_category_Film & Video,132
launch_quarter_2,115
category_Tabletop Games,99
deadline_quarter_4,98
deadline_quarter_3,96
launch_quarter_3,94
main_category_Comics,90
launch_quarter_1,89
main_category_Music,88
launch_quarter_4,87
category_Video Games,83
title_symbols,80
deadline_quarter_1,76
main_category_Games,75
main_category_Food,75
country_US,75
main_category_Fashion,74
category_Music,69
currency_GBP,68
main_category_Technology,67
main_category_Design,60
category_Product Design,57
launch_hour_17,53
launch_hour_16,51
launch_hour_15,45
launch_hour_23,44
currency_EUR,44
main_category_Theater,43
launch_hour_18,42
launch_hour_20,40
category_Documentary,40
category_Apps,40
launch_hour_0,39
launch_hour_22,38
category_Film & Video,37
launch_hour_19,36
main_category_Crafts,35
launch_hour_4,35
currency_CAD,35
main_category_Art,34
category_Shorts,34
main_category_Publishing,33
main_category_Photography,33
launch_hour_1,33
launch_hour_21,32
launch_hour_14,32
category_Web,32
category_Fiction,32
launch_hour_6,31
currency_AUD,31
main_category_Dance,29
launch_hour_2,28
category_Comic Books,28
category_Anthologies,28
launch_hour_3,27
category_Software,27
category_Playing Cards,27
launch_hour_10,26
category_Painting,26
category_Indie Rock,26
category_Hip-Hop,26
launch_hour_13,25
category_Nonfiction,25
category_Country & Folk,25
category_Art Books,25
category_Apparel,25
main_category_Journalism,24
launch_hour_9,24
launch_hour_5,24
category_Webcomics,24
category_Technology,24
category_Radio & Podcasts,24
category_Hardware,24
category_Public Art,23
launch_hour_12,22
category_Periodicals,22
category_Mobile Games,22
category_Accessories,22
country_FR,21
category_Webseries,19
category_Illustration,19
category_Comics,19
category_Rock,18
category_Mixed Media,18
category_Food Trucks,18
category_Faith,18
category_Narrative Film,17
category_Gadgets,17
category_Design,17
category_DIY Electronics,17
launch_hour_7,16
currency_MXN,16
country_IT,16
category_Vegan,16
category_Events,16
category_Electronic Music,16
category_Digital Art,16
category_Classical Music,16
category_Art,16
category_Action,16
category_Wearables,15
category_Sculpture,15
category_Publishing,15
category_Live Games,15
category_Jazz,15
category_Horror,14
currency_SEK,13
country_DE,13
category_Zines,13
category_Theater,13
category_Television,13
category_Photobooks,13
category_Letterpress,13
category_Fashion,13
category_Comedy,13
launch_hour_11,12
country_GB,12
category_Young Adult,12
category_Space Exploration,12
category_Ready-to-wear,12
category_Places,12
category_Nature,12
category_Jewelry,12
category_Graphic Design,12
category_Food,12
category_Candles,12
category_Camera Equipment,12
category_Academic,12
category_Textiles,11
category_Restaurants,11
category_Pottery,11
category_Metal,11
category_Literary Journals,11
category_Flight,11
category_Farmer's Markets,11
launch_hour_8,10
country_AT,10
category_Typography,10
category_Knitting,10
category_Dance,10
category_DIY,10
category_Chiptune,10
category_Workshops,9
category_Video,9
category_Thrillers,9
category_Stationery,9
category_Sound,9
category_R&B,9
category_Poetry,9
category_Interactive Design,9
category_Experimental,9
category_Children's Books,9
category_Blues,9
category_Animation,9
category_Spaces,8
category_Games,8
category_Drinks,8
category_Crochet,8
category_Animals,8
currency_CHF,7
country_MX,7
country_CA,7
country_AU,7
category_World Music,7
category_Installations,7
category_Footwear,7
category_Woodworking,6
category_People,6
category_Latin,6
category_Graphic Novels,6
category_Family,6
category_Crafts,6
category_Conceptual Art,6
category_Calendars,6
currency_NOK,5
category_Science Fiction,5
category_Photography,5
category_Performance Art,5
category_Musical,5
category_Cookbooks,5
category_Ceramics,5
category_Audio,5
category_3D Printing,5
currency_NZD,4
country_NL,4
category_Pop,4
category_Photo,4
category_Performances,4
category_Embroidery,4
category_Childrenswear,4
currency_HKD,3
currency_DKK,3
country_SE,3
country_IE,3
country_ES,3
category_Punk,3
category_Plays,3
category_Movie Theaters,3
category_Journalism,3
category_Immersive,3
category_Farms,3
currency_SGD,2
country_BE,2
category_Puzzles,2
category_Printing,2
category_Fine Art,2
category_Fantasy,2
category_Couture,2
category_Architecture,2
country_SG,1
country_NZ,1
country_DK,1
category_Small Batch,1
category_Residencies,1
category_Print,1
category_Music Videos,1
category_Drama,1
category_Community Gardens,1
currency_JPY,0
country_NO,0
country_LU,0
country_JP,0
country_HK,0
country_CH,0
category_Weaving,0
category_Video Art,0
category_Translations,0
category_Taxidermy,0
category_Romance,0
category_Robots,0
category_Quilts,0
category_Pet Fashion,0
category_Makerspaces,0
category_Literary Spaces,0
category_Kids,0
category_Glass,0
category_Gaming Hardware,0
category_Festivals,0
category_Fabrication Tools,0
category_Civic Design,0
category_Bacon,0
